  4.290pH         23.3øC 27-12-2003 14:43:27
  4.397pH         25.7øC 28-12-2003 07:01:27
  4.397pH         25.7øC 28-12-2003 07:01:57
  4.397pH         25.7øC 28-12-2003 07:02:27
  4.397pH         25.7øC 28-12-2003 07:02:57
  4.397pH         25.7øC 28-12-2003 07:03:27
  4.397pH         25.7øC 28-12-2003 07:03:57
  4.397pH         25.7øC 28-12-2003 07:04:27
  4.397pH         25.7øC 28-12-2003 07:04:57
  4.397pH         25.7øC 28-12-2003 07:05:27
  4.397pH         25.7øC 28-12-2003 07:05:57
  4.397pH         25.7øC 28-12-2003 07:06:27
  4.397pH         25.7øC 28-12-2003 07:06:57
  4.397pH         25.7øC 28-12-2003 07:07:27
  4.397pH         25.7øC 28-12-2003 07:07:57
  4.397pH         25.7øC 28-12-2003 07:08:27
  4.397pH         25.7øC 28-12-2003 07:08:57
  4.397pH         25.7øC 28-12-2003 07:09:27
  4.397pH         25.7øC 28-12-2003 07:09:57
  4.397pH         25.7øC 28-12-2003 07:10:27
  4.397pH         25.7øC 28-12-2003 07:10:57
  4.397pH         25.7øC 28-12-2003 07:11:27
  4.396pH         25.7øC 28-12-2003 07:11:57
  4.397pH         25.7øC 28-12-2003 07:12:27
  4.397pH         25.7øC 28-12-2003 07:12:57
  4.396pH         25.7øC 28-12-2003 07:13:27
  4.396pH         25.7øC 28-12-2003 07:13:57
  4.397pH         25.7øC 28-12-2003 07:14:27
  4.398pH         25.7øC 28-12-2003 07:14:57
  4.397pH         25.7øC 28-12-2003 07:15:27
  4.396pH         25.7øC 28-12-2003 07:15:57
  4.397pH         25.7øC 28-12-2003 07:16:27
  4.396pH         25.7øC 28-12-2003 07:16:57
  4.397pH         25.7øC 28-12-2003 07:17:27
  4.397pH         25.7øC 28-12-2003 07:17:57
  4.397pH         25.7øC 28-12-2003 07:18:27
  4.396pH         25.7øC 28-12-2003 07:18:57
  4.397pH         25.7øC 28-12-2003 07:19:27
  4.396pH         25.7øC 28-12-2003 07:19:57
  4.397pH         25.7øC 28-12-2003 07:20:27
  4.397pH         25.7øC 28-12-2003 07:20:57
  4.397pH         25.8øC 28-12-2003 07:21:27
  4.397pH         25.8øC 28-12-2003 07:21:57
  4.397pH         25.8øC 28-12-2003 07:22:27
  4.397pH         25.8øC 28-12-2003 07:22:57
  4.397pH         25.8øC 28-12-2003 07:23:27
  4.397pH         25.8øC 28-12-2003 07:23:57
  4.397pH         25.8øC 28-12-2003 07:24:27
  4.397pH         25.8øC 28-12-2003 07:24:57
  4.397pH         25.8øC 28-12-2003 07:25:27
  4.398pH         25.8øC 28-12-2003 07:25:57
  4.398pH         25.8øC 28-12-2003 07:26:27
  4.397pH         25.8øC 28-12-2003 07:26:57
  4.397pH         25.8øC 28-12-2003 07:27:27
  4.397pH         25.8øC 28-12-2003 07:27:57
  4.398pH         25.8øC 28-12-2003 07:28:27
  4.397pH         25.8øC 28-12-2003 07:28:57
  4.398pH         25.8øC 28-12-2003 07:29:27
  4.397pH         25.8øC 28-12-2003 07:29:57
  4.397pH         25.8øC 28-12-2003 07:30:27
  4.397pH         25.8øC 28-12-2003 07:30:57
  4.397pH         25.8øC 28-12-2003 07:31:27
  4.397pH         25.8øC 28-12-2003 07:31:57
  4.397pH         25.8øC 28-12-2003 07:32:27
  4.397pH         25.8øC 28-12-2003 07:32:57
  4.397pH         25.8øC 28-12-2003 07:33:27
  4.397pH         25.8øC 28-12-2003 07:33:57
  4.397pH         25.8øC 28-12-2003 07:34:27
  4.397pH         25.8øC 28-12-2003 07:34:57
  4.397pH         25.8øC 28-12-2003 07:35:27
  4.397pH         25.8øC 28-12-2003 07:35:57
  4.396pH         25.8øC 28-12-2003 07:36:27
  4.396pH         25.8øC 28-12-2003 07:36:57
  4.397pH         25.8øC 28-12-2003 07:37:27
  4.397pH         25.8øC 28-12-2003 07:37:57
  4.397pH         25.8øC 28-12-2003 07:38:27
  4.396pH         25.9øC 28-12-2003 07:38:57
  4.397pH         25.9øC 28-12-2003 07:39:27
  4.397pH         25.9øC 28-12-2003 07:39:57
  4.396pH         25.9øC 28-12-2003 07:40:27
  4.397pH         25.9øC 28-12-2003 07:40:57
  4.396pH         25.9øC 28-12-2003 07:41:27
  4.396pH         25.9øC 28-12-2003 07:41:57
  4.396pH         25.9øC 28-12-2003 07:42:27
  4.397pH         25.9øC 28-12-2003 07:42:57
  4.397pH         25.9øC 28-12-2003 07:43:27
  4.397pH         25.9øC 28-12-2003 07:43:57
  4.398pH         25.9øC 28-12-2003 07:44:27
  4.397pH         25.9øC 28-12-2003 07:44:57
  4.397pH         25.9øC 28-12-2003 07:45:27
  4.397pH         25.9øC 28-12-2003 07:45:57
  4.397pH         25.9øC 28-12-2003 07:46:27
  4.396pH         25.9øC 28-12-2003 07:46:57
  4.397pH         25.9øC 28-12-2003 07:47:27
  4.397pH         25.9øC 28-12-2003 07:47:57
  4.397pH         25.9øC 28-12-2003 07:48:27
  4.397pH         25.9øC 28-12-2003 07:48:57
  4.397pH         25.9øC 28-12-2003 07:49:27
  4.397pH         25.9øC 28-12-2003 07:49:57
  4.397pH         25.9øC 28-12-2003 07:50:27
  4.397pH         25.9øC 28-12-2003 07:50:57
  4.397pH         25.9øC 28-12-2003 07:51:27
  4.397pH         25.9øC 28-12-2003 07:51:57
  4.397pH         25.9øC 28-12-2003 07:52:27
  4.397pH         25.9øC 28-12-2003 07:52:57
  4.397pH         25.9øC 28-12-2003 07:53:27
  4.397pH         25.9øC 28-12-2003 07:53:57
  4.397pH         25.9øC 28-12-2003 07:54:27
  4.397pH         25.9øC 28-12-2003 07:54:57
  4.397pH         25.9øC 28-12-2003 07:55:27
  4.397pH         25.9øC 28-12-2003 07:55:57
  4.397pH         25.9øC 28-12-2003 07:56:27
  4.397pH         25.9øC 28-12-2003 07:56:57
  4.397pH         25.9øC 28-12-2003 07:57:27
  4.397pH         25.9øC 28-12-2003 07:57:57
  4.398pH         25.9øC 28-12-2003 07:58:27
  4.397pH         25.9øC 28-12-2003 07:58:57
  4.397pH         25.9øC 28-12-2003 07:59:27
  4.398pH         25.9øC 28-12-2003 07:59:57
  4.397pH         25.9øC 28-12-2003 08:00:27
  4.397pH         25.9øC 28-12-2003 08:00:57
  4.396pH         25.9øC 28-12-2003 08:01:27
  4.396pH         25.9øC 28-12-2003 08:01:57
  4.397pH         25.9øC 28-12-2003 08:02:27
  4.398pH         25.9øC 28-12-2003 08:02:57
  4.398pH         25.9øC 28-12-2003 08:03:27
  4.398pH         25.9øC 28-12-2003 08:03:57
  4.398pH         25.9øC 28-12-2003 08:04:27
  4.398pH         25.9øC 28-12-2003 08:04:57
  4.398pH         25.9øC 28-12-2003 08:05:27
  4.398pH         25.9øC 28-12-2003 08:05:57
  4.398pH         25.9øC 28-12-2003 08:06:27
  4.398pH         25.9øC 28-12-2003 08:06:57
  4.398pH         25.9øC 28-12-2003 08:07:27
  4.398pH         25.9øC 28-12-2003 08:07:57
  4.398pH         25.9øC 28-12-2003 08:08:27
  4.398pH         25.9øC 28-12-2003 08:08:57
  4.398pH         25.9øC 28-12-2003 08:09:27
  4.398pH         25.9øC 28-12-2003 08:09:57
  4.398pH         25.9øC 28-12-2003 08:10:27
  4.398pH         25.9øC 28-12-2003 08:10:57
  4.399pH         25.9øC 28-12-2003 08:11:27
  4.398pH         25.9øC 28-12-2003 08:11:57
  4.398pH         25.9øC 28-12-2003 08:12:27
  4.398pH         25.9øC 28-12-2003 08:12:57
  4.398pH         25.9øC 28-12-2003 08:13:27
  4.398pH         25.9øC 28-12-2003 08:13:57
  4.398pH         25.9øC 28-12-2003 08:14:27
  4.398pH         25.9øC 28-12-2003 08:14:57
  4.398pH         25.9øC 28-12-2003 08:15:27
  4.397pH         25.9øC 28-12-2003 08:15:57
  4.399pH         25.9øC 28-12-2003 08:16:27
  4.397pH         25.9øC 28-12-2003 08:16:57
  4.398pH         25.9øC 28-12-2003 08:17:27
  4.397pH         25.9øC 28-12-2003 08:17:57
  4.398pH         25.9øC 28-12-2003 08:18:27
  4.397pH         25.9øC 28-12-2003 08:18:57
  4.398pH         25.9øC 28-12-2003 08:19:27
  4.399pH         25.9øC 28-12-2003 08:19:57
  4.398pH         25.9øC 28-12-2003 08:20:27
  4.399pH         25.9øC 28-12-2003 08:20:57
  4.398pH         25.9øC 28-12-2003 08:21:27
  4.398pH         25.9øC 28-12-2003 08:21:57
  4.398pH         25.9øC 28-12-2003 08:22:27
  4.398pH         25.9øC 28-12-2003 08:22:57
  4.399pH         25.9øC 28-12-2003 08:23:27
  4.398pH         25.9øC 28-12-2003 08:23:57
  4.398pH         25.9øC 28-12-2003 08:24:27
  4.399pH         25.9øC 28-12-2003 08:24:57
  4.398pH         25.9øC 28-12-2003 08:25:27
  4.398pH         25.9øC 28-12-2003 08:25:57
  4.399pH         25.9øC 28-12-2003 08:26:27
  4.399pH         25.9øC 28-12-2003 08:26:57
  4.399pH         25.9øC 28-12-2003 08:27:27
  4.399pH         25.9øC 28-12-2003 08:27:57
  4.399pH         25.9øC 28-12-2003 08:28:27
  4.399pH         25.9øC 28-12-2003 08:28:57
  4.398pH         25.9øC 28-12-2003 08:29:27
  4.399pH         25.9øC 28-12-2003 08:29:57
  4.399pH         25.9øC 28-12-2003 08:30:27
  4.398pH         25.9øC 28-12-2003 08:30:57
  4.399pH         25.9øC 28-12-2003 08:31:27
  4.398pH         25.9øC 28-12-2003 08:31:57
  4.399pH         25.9øC 28-12-2003 08:32:27
  4.399pH         25.9øC 28-12-2003 08:32:57
  4.398pH         25.9øC 28-12-2003 08:33:27
  4.399pH         25.9øC 28-12-2003 08:33:57
  4.398pH         25.9øC 28-12-2003 08:34:27
  4.399pH         25.9øC 28-12-2003 08:34:57
  4.399pH         25.9øC 28-12-2003 08:35:27
  4.399pH         25.9øC 28-12-2003 08:35:57
  4.398pH         25.9øC 28-12-2003 08:36:27
  4.399pH         25.9øC 28-12-2003 08:36:57
  4.398pH         25.9øC 28-12-2003 08:37:27
  4.399pH         25.9øC 28-12-2003 08:37:57
  4.398pH         25.9øC 28-12-2003 08:38:27
  4.398pH         25.9øC 28-12-2003 08:38:57
  4.398pH         25.9øC 28-12-2003 08:39:27
  4.398pH         25.9øC 28-12-2003 08:39:57
  4.398pH         25.9øC 28-12-2003 08:40:27
  4.398pH         25.9øC 28-12-2003 08:40:57
  4.398pH         25.9øC 28-12-2003 08:41:27
  4.398pH         25.9øC 28-12-2003 08:41:57
  4.398pH         25.9øC 28-12-2003 08:42:27
  4.398pH         25.9øC 28-12-2003 08:42:57
  4.398pH         25.9øC 28-12-2003 08:43:27
  4.398pH         26.0øC 28-12-2003 08:43:57
  4.398pH         26.0øC 28-12-2003 08:44:27
  4.398pH         26.0øC 28-12-2003 08:44:57
  4.398pH         25.9øC 28-12-2003 08:45:27
  4.398pH         25.9øC 28-12-2003 08:45:57
  4.398pH         26.0øC 28-12-2003 08:46:27
  4.398pH         26.0øC 28-12-2003 08:46:57
  4.398pH         26.0øC 28-12-2003 08:47:27
  4.398pH         25.9øC 28-12-2003 08:47:57
  4.398pH         26.0øC 28-12-2003 08:48:27
  4.398pH         26.0øC 28-12-2003 08:48:57
  4.398pH         26.0øC 28-12-2003 08:49:27
  4.397pH         26.0øC 28-12-2003 08:49:57
  4.398pH         26.0øC 28-12-2003 08:50:27
  4.398pH         26.0øC 28-12-2003 08:50:57
  4.398pH         26.0øC 28-12-2003 08:51:27
  4.398pH         26.0øC 28-12-2003 08:51:57
  4.398pH         26.0øC 28-12-2003 08:52:27
  4.399pH         26.0øC 28-12-2003 08:52:57
  4.398pH         26.0øC 28-12-2003 08:53:27
  4.399pH         26.0øC 28-12-2003 08:53:57
  4.399pH         26.0øC 28-12-2003 08:54:27
  4.399pH         26.0øC 28-12-2003 08:54:57
  4.399pH         26.0øC 28-12-2003 08:55:27
  4.398pH         26.0øC 28-12-2003 08:55:57
  4.399pH         26.0øC 28-12-2003 08:56:27
  4.398pH         26.0øC 28-12-2003 08:56:57
  4.399pH         26.0øC 28-12-2003 08:57:27
  4.398pH         26.0øC 28-12-2003 08:57:57
  4.399pH         26.0øC 28-12-2003 08:58:27
  4.399pH         26.0øC 28-12-2003 08:58:57
  4.399pH         26.0øC 28-12-2003 08:59:27
  4.399pH         26.0øC 28-12-2003 08:59:57
  4.399pH         26.0øC 28-12-2003 09:00:27
  4.399pH         26.0øC 28-12-2003 09:00:57
  4.399pH         26.0øC 28-12-2003 09:01:27
  4.399pH         26.0øC 28-12-2003 09:01:57
  4.399pH         26.0øC 28-12-2003 09:02:27
  4.399pH         26.0øC 28-12-2003 09:02:57
  4.399pH         26.0øC 28-12-2003 09:03:27
  4.398pH         26.0øC 28-12-2003 09:03:57
  4.398pH         26.0øC 28-12-2003 09:04:27
  4.399pH         26.0øC 28-12-2003 09:04:57
  4.399pH         26.0øC 28-12-2003 09:05:27
  4.399pH         26.0øC 28-12-2003 09:05:57
  4.399pH         26.0øC 28-12-2003 09:06:27
  4.399pH         26.0øC 28-12-2003 09:06:57
  4.398pH         26.0øC 28-12-2003 09:07:27
  4.398pH         26.0øC 28-12-2003 09:07:57
  4.398pH         26.0øC 28-12-2003 09:08:27
  4.399pH         26.0øC 28-12-2003 09:08:57
  4.398pH         26.0øC 28-12-2003 09:09:27
  4.399pH         26.0øC 28-12-2003 09:09:57
  4.398pH         26.0øC 28-12-2003 09:10:27
  4.398pH         26.0øC 28-12-2003 09:10:57
  4.398pH         26.0øC 28-12-2003 09:11:27
  4.398pH         26.0øC 28-12-2003 09:11:57
  4.398pH         26.0øC 28-12-2003 09:12:27
  4.398pH         26.0øC 28-12-2003 09:12:57
  4.398pH         26.0øC 28-12-2003 09:13:27
  4.397pH         26.0øC 28-12-2003 09:13:57
  4.397pH         26.0øC 28-12-2003 09:14:27
  4.398pH         26.0øC 28-12-2003 09:14:57
  4.397pH         26.0øC 28-12-2003 09:15:27
  4.397pH         26.0øC 28-12-2003 09:15:57
  4.398pH         26.0øC 28-12-2003 09:16:27
  4.397pH         26.0øC 28-12-2003 09:16:57
  4.397pH         26.0øC 28-12-2003 09:17:27
  4.397pH         26.0øC 28-12-2003 09:17:57
  4.397pH         26.0øC 28-12-2003 09:18:27
  4.397pH         26.0øC 28-12-2003 09:18:57
  4.397pH         26.0øC 28-12-2003 09:19:27
  4.397pH         26.0øC 28-12-2003 09:19:57
  4.397pH         26.0øC 28-12-2003 09:20:27
  4.397pH         26.0øC 28-12-2003 09:20:57
  4.397pH         26.0øC 28-12-2003 09:21:27
  4.397pH         26.0øC 28-12-2003 09:21:57
  4.397pH         26.0øC 28-12-2003 09:22:27
  4.397pH         26.0øC 28-12-2003 09:22:57
  4.397pH         26.0øC 28-12-2003 09:23:27
  4.398pH         26.0øC 28-12-2003 09:23:57
  4.397pH         26.0øC 28-12-2003 09:24:27
  4.398pH         26.0øC 28-12-2003 09:24:57
  4.397pH         26.0øC 28-12-2003 09:25:27
  4.397pH         26.0øC 28-12-2003 09:25:57
  4.397pH         26.0øC 28-12-2003 09:26:27
  4.397pH         26.0øC 28-12-2003 09:26:57
  4.398pH         26.0øC 28-12-2003 09:27:27
  4.397pH         26.0øC 28-12-2003 09:27:57
  4.398pH         26.0øC 28-12-2003 09:28:27
  4.398pH         26.0øC 28-12-2003 09:28:57
  4.397pH         26.0øC 28-12-2003 09:29:27
  4.397pH         26.0øC 28-12-2003 09:29:57
  4.397pH         26.0øC 28-12-2003 09:30:27
  4.397pH         26.0øC 28-12-2003 09:30:57
  4.397pH         26.0øC 28-12-2003 09:31:27
  4.397pH         26.0øC 28-12-2003 09:31:57
  4.397pH         26.0øC 28-12-2003 09:32:27
  4.397pH         26.0øC 28-12-2003 09:32:57
  4.397pH         26.0øC 28-12-2003 09:33:27
  4.397pH         26.0øC 28-12-2003 09:33:57
  4.397pH         26.0øC 28-12-2003 09:34:27
  4.397pH         26.0øC 28-12-2003 09:34:57
  4.397pH         26.1øC 28-12-2003 09:35:27
  4.397pH         26.0øC 28-12-2003 09:35:57
  4.397pH         26.1øC 28-12-2003 09:36:27
  4.397pH         26.1øC 28-12-2003 09:36:57
  4.397pH         26.1øC 28-12-2003 09:37:27
  4.397pH         26.1øC 28-12-2003 09:37:57
  4.397pH         26.1øC 28-12-2003 09:38:27
  4.397pH         26.1øC 28-12-2003 09:38:57
  4.397pH         26.1øC 28-12-2003 09:39:27
  4.397pH         26.1øC 28-12-2003 09:39:57
  4.397pH         26.1øC 28-12-2003 09:40:27
  4.397pH         26.1øC 28-12-2003 09:40:57
  4.397pH         26.1øC 28-12-2003 09:41:27
  4.398pH         26.1øC 28-12-2003 09:41:57
  4.398pH         26.1øC 28-12-2003 09:42:27
  4.398pH         26.1øC 28-12-2003 09:42:57
  4.397pH         26.1øC 28-12-2003 09:43:27
  4.398pH         26.1øC 28-12-2003 09:43:57
  4.398pH         26.1øC 28-12-2003 09:44:27
  4.398pH         26.1øC 28-12-2003 09:44:57
  4.398pH         26.1øC 28-12-2003 09:45:27
  4.398pH         26.1øC 28-12-2003 09:45:57
  4.398pH         26.1øC 28-12-2003 09:46:27
  4.397pH         26.1øC 28-12-2003 09:46:57
  4.397pH         26.1øC 28-12-2003 09:47:27
  4.397pH         26.1øC 28-12-2003 09:47:57
  4.398pH         26.1øC 28-12-2003 09:48:27
  4.398pH         26.1øC 28-12-2003 09:48:57
  4.398pH         26.1øC 28-12-2003 09:49:27
  4.398pH         26.1øC 28-12-2003 09:49:57
  4.398pH         26.1øC 28-12-2003 09:50:27
  4.398pH         26.1øC 28-12-2003 09:50:57
  4.398pH         26.1øC 28-12-2003 09:51:27
  4.397pH         26.1øC 28-12-2003 09:51:57
  4.398pH         26.1øC 28-12-2003 09:52:27
  4.398pH         26.1øC 28-12-2003 09:52:57
  4.397pH         26.1øC 28-12-2003 09:53:27
  4.397pH         26.1øC 28-12-2003 09:53:57
  4.397pH         26.1øC 28-12-2003 09:54:27
  4.397pH         26.1øC 28-12-2003 09:54:57
  4.397pH         26.1øC 28-12-2003 09:55:27
  4.396pH         26.1øC 28-12-2003 09:55:57
  4.397pH         26.1øC 28-12-2003 09:56:27
  4.397pH         26.1øC 28-12-2003 09:56:57
  4.397pH         26.1øC 28-12-2003 09:57:27
  4.397pH         26.1øC 28-12-2003 09:57:57
  4.397pH         26.1øC 28-12-2003 09:58:27
  4.397pH         26.1øC 28-12-2003 09:58:57
  4.397pH         26.1øC 28-12-2003 09:59:27
  4.396pH         26.1øC 28-12-2003 09:59:57
  4.396pH         26.1øC 28-12-2003 10:00:27
  4.398pH         26.1øC 28-12-2003 10:00:57
  4.397pH         26.1øC 28-12-2003 10:01:27
  4.397pH         26.2øC 28-12-2003 10:01:57
  4.397pH         26.2øC 28-12-2003 10:02:27
  4.397pH         26.2øC 28-12-2003 10:02:57
  4.398pH         26.2øC 28-12-2003 10:03:27
  4.398pH         26.2øC 28-12-2003 10:03:57
  4.398pH         26.2øC 28-12-2003 10:04:27
  4.398pH         26.2øC 28-12-2003 10:04:57
  4.398pH         26.2øC 28-12-2003 10:05:27
  4.398pH         26.2øC 28-12-2003 10:05:57
  4.398pH         26.2øC 28-12-2003 10:06:27
  4.398pH         26.2øC 28-12-2003 10:06:57
  4.398pH         26.2øC 28-12-2003 10:07:27
  4.398pH         26.2øC 28-12-2003 10:07:57
  4.399pH         26.2øC 28-12-2003 10:08:27
  4.399pH         26.2øC 28-12-2003 10:08:57
  4.399pH         26.2øC 28-12-2003 10:09:27
  4.399pH         26.2øC 28-12-2003 10:09:57
  4.399pH         26.2øC 28-12-2003 10:10:27
  4.398pH         26.2øC 28-12-2003 10:10:57
  4.398pH         26.2øC 28-12-2003 10:11:27
  4.398pH         26.2øC 28-12-2003 10:11:57
  4.399pH         26.2øC 28-12-2003 10:12:27
  4.399pH         26.2øC 28-12-2003 10:12:57
  4.399pH         26.2øC 28-12-2003 10:13:27
  4.399pH         26.2øC 28-12-2003 10:13:57
  4.399pH         26.2øC 28-12-2003 10:14:27
  4.399pH         26.2øC 28-12-2003 10:14:57
  4.399pH         26.2øC 28-12-2003 10:15:27
  4.398pH         26.2øC 28-12-2003 10:15:57
  4.398pH         26.2øC 28-12-2003 10:16:27
  4.398pH         26.2øC 28-12-2003 10:16:57
  4.398pH         26.2øC 28-12-2003 10:17:27
  4.398pH         26.2øC 28-12-2003 10:17:57
  4.398pH         26.2øC 28-12-2003 10:18:27
  4.398pH         26.2øC 28-12-2003 10:18:57
  4.398pH         26.2øC 28-12-2003 10:19:27
  4.398pH         26.2øC 28-12-2003 10:19:57
  4.398pH         26.2øC 28-12-2003 10:20:27
  4.398pH         26.2øC 28-12-2003 10:20:57
  4.399pH         26.3øC 28-12-2003 10:21:27
  4.399pH         26.3øC 28-12-2003 10:21:57
  4.399pH         26.3øC 28-12-2003 10:22:27
  4.399pH         26.3øC 28-12-2003 10:22:57
  4.399pH         26.3øC 28-12-2003 10:23:27
  4.398pH         26.3øC 28-12-2003 10:23:57
  4.399pH         26.3øC 28-12-2003 10:24:27
  4.399pH         26.3øC 28-12-2003 10:24:57
  4.399pH         26.3øC 28-12-2003 10:25:27
  4.399pH         26.3øC 28-12-2003 10:25:57
  4.399pH         26.3øC 28-12-2003 10:26:27
  4.399pH         26.3øC 28-12-2003 10:26:57
  4.399pH         26.3øC 28-12-2003 10:27:27
  4.398pH         26.3øC 28-12-2003 10:27:57
  4.399pH         26.3øC 28-12-2003 10:28:27
  4.399pH         26.3øC 28-12-2003 10:28:57
  4.398pH         26.3øC 28-12-2003 10:29:27
  4.399pH         26.3øC 28-12-2003 10:29:57
  4.399pH         26.3øC 28-12-2003 10:30:27
  4.400pH         26.3øC 28-12-2003 10:30:57
  4.399pH         26.3øC 28-12-2003 10:31:27
  4.399pH         26.3øC 28-12-2003 10:31:57
  4.399pH         26.3øC 28-12-2003 10:32:27
  4.399pH         26.3øC 28-12-2003 10:32:57
  4.399pH         26.3øC 28-12-2003 10:33:27
  4.399pH         26.3øC 28-12-2003 10:33:57
  4.399pH         26.3øC 28-12-2003 10:34:27
  4.399pH         26.3øC 28-12-2003 10:34:57
  4.399pH         26.3øC 28-12-2003 10:35:27
  4.399pH         26.3øC 28-12-2003 10:35:57
  4.399pH         26.3øC 28-12-2003 10:36:27
  4.399pH         26.3øC 28-12-2003 10:36:57
  4.399pH         26.3øC 28-12-2003 10:37:27
  4.400pH         26.3øC 28-12-2003 10:37:57
  4.400pH         26.3øC 28-12-2003 10:38:27
  4.400pH         26.3øC 28-12-2003 10:38:57
  4.399pH         26.4øC 28-12-2003 10:39:27
  4.400pH         26.4øC 28-12-2003 10:39:57
  4.400pH         26.4øC 28-12-2003 10:40:27
  4.400pH         26.4øC 28-12-2003 10:40:57
  4.400pH         26.4øC 28-12-2003 10:41:27
  4.399pH         26.4øC 28-12-2003 10:41:57
  4.400pH         26.4øC 28-12-2003 10:42:27
  4.399pH         26.4øC 28-12-2003 10:42:57
  4.399pH         26.4øC 28-12-2003 10:43:27
  4.400pH         26.4øC 28-12-2003 10:43:57
  4.400pH         26.4øC 28-12-2003 10:44:27
  4.400pH         26.4øC 28-12-2003 10:44:57
  4.400pH         26.4øC 28-12-2003 10:45:27
  4.400pH         26.4øC 28-12-2003 10:45:57
  4.400pH         26.4øC 28-12-2003 10:46:27
  4.400pH         26.4øC 28-12-2003 10:46:57
  4.400pH         26.4øC 28-12-2003 10:47:27
  4.400pH         26.4øC 28-12-2003 10:47:57
  4.400pH         26.4øC 28-12-2003 10:48:27
  4.400pH         26.5øC 28-12-2003 10:48:57
  4.400pH         26.4øC 28-12-2003 10:49:27
  4.400pH         26.5øC 28-12-2003 10:49:57
  4.400pH         26.5øC 28-12-2003 10:50:27
  4.400pH         26.5øC 28-12-2003 10:50:57
  4.400pH         26.5øC 28-12-2003 10:51:27
  4.400pH         26.5øC 28-12-2003 10:51:57
  4.400pH         26.5øC 28-12-2003 10:52:27
  4.400pH         26.5øC 28-12-2003 10:52:57
  4.400pH         26.5øC 28-12-2003 10:53:27
  4.399pH         26.5øC 28-12-2003 10:53:57
  4.400pH         26.5øC 28-12-2003 10:54:27
  4.400pH         26.5øC 28-12-2003 10:54:57
  4.400pH         26.5øC 28-12-2003 10:55:27
  4.400pH         26.5øC 28-12-2003 10:55:57
  4.400pH         26.5øC 28-12-2003 10:56:27
  4.400pH         26.5øC 28-12-2003 10:56:57
  4.400pH         26.5øC 28-12-2003 10:57:27
  4.400pH         26.5øC 28-12-2003 10:57:57
  4.400pH         26.5øC 28-12-2003 10:58:27
  4.400pH         26.5øC 28-12-2003 10:58:57
  4.400pH         26.5øC 28-12-2003 10:59:27
  4.400pH         26.5øC 28-12-2003 10:59:57
  4.400pH         26.5øC 28-12-2003 11:00:27
  4.400pH         26.5øC 28-12-2003 11:00:57
  4.399pH         26.5øC 28-12-2003 11:01:27
  4.400pH         26.5øC 28-12-2003 11:01:57
  4.400pH         26.5øC 28-12-2003 11:02:27
  4.400pH         26.5øC 28-12-2003 11:02:57
  4.400pH         26.5øC 28-12-2003 11:03:27
  4.400pH         26.5øC 28-12-2003 11:03:57
  4.400pH         26.5øC 28-12-2003 11:04:27
  4.400pH         26.5øC 28-12-2003 11:04:57
  4.399pH         26.5øC 28-12-2003 11:05:27
  4.399pH         26.5øC 28-12-2003 11:05:57
  4.399pH         26.5øC 28-12-2003 11:06:27
  4.399pH         26.5øC 28-12-2003 11:06:57
  4.399pH         26.5øC 28-12-2003 11:07:27
  4.399pH         26.5øC 28-12-2003 11:07:57
  4.399pH         26.5øC 28-12-2003 11:08:27
  4.399pH         26.5øC 28-12-2003 11:08:57
  4.399pH         26.5øC 28-12-2003 11:09:27
  4.399pH         26.5øC 28-12-2003 11:09:57
  4.399pH         26.5øC 28-12-2003 11:10:27
  4.400pH         26.5øC 28-12-2003 11:10:57
  4.400pH         26.5øC 28-12-2003 11:11:27
  4.399pH         26.5øC 28-12-2003 11:11:57
  4.400pH         26.5øC 28-12-2003 11:12:27
  4.400pH         26.5øC 28-12-2003 11:12:57
  4.400pH         26.5øC 28-12-2003 11:13:27
  4.399pH         26.5øC 28-12-2003 11:13:57
  4.400pH         26.5øC 28-12-2003 11:14:27
  4.400pH         26.5øC 28-12-2003 11:14:57
  4.400pH         26.5øC 28-12-2003 11:15:27
  4.400pH         26.5øC 28-12-2003 11:15:57
  4.400pH         26.5øC 28-12-2003 11:16:27
  4.399pH         26.5øC 28-12-2003 11:16:57
  4.400pH         26.5øC 28-12-2003 11:17:27
  4.399pH         26.5øC 28-12-2003 11:17:57
  4.399pH         26.5øC 28-12-2003 11:18:27
  4.399pH         26.5øC 28-12-2003 11:18:57
  4.400pH         26.5øC 28-12-2003 11:19:27
  4.399pH         26.5øC 28-12-2003 11:19:57
  4.399pH         26.5øC 28-12-2003 11:20:27
  4.399pH         26.6øC 28-12-2003 11:20:57
  4.400pH         26.6øC 28-12-2003 11:21:27
  4.400pH         26.6øC 28-12-2003 11:21:57
  4.400pH         26.6øC 28-12-2003 11:22:27
  4.400pH         26.6øC 28-12-2003 11:22:57
  4.400pH         26.6øC 28-12-2003 11:23:27
  4.400pH         26.6øC 28-12-2003 11:23:57
  4.400pH         26.6øC 28-12-2003 11:24:27
  4.400pH         26.6øC 28-12-2003 11:24:57
  4.400pH         26.6øC 28-12-2003 11:25:27
  4.400pH         26.6øC 28-12-2003 11:25:57
  4.400pH         26.6øC 28-12-2003 11:26:27
  4.400pH         26.6øC 28-12-2003 11:26:57
  4.400pH         26.6øC 28-12-2003 11:27:27
  4.400pH         26.6øC 28-12-2003 11:27:57
  4.399pH         26.6øC 28-12-2003 11:28:27
  4.400pH         26.6øC 28-12-2003 11:28:57
  4.399pH         26.6øC 28-12-2003 11:29:27
